Cod_Ibge;Localidade;Ano;Setor;Valor
3500105;Adamantina;2002;Agropecuária;R$ 24.321.939
3500204;Adolfo;2002;Agropecuária;R$ 11.076.934
3500303;Aguaí;2002;Agropecuária;R$ 54.743.792
3500402;Águas da Prata;2002;Agropecuária;R$ 3.910.158
3500501;Águas de Lindóia;2002;Agropecuária;R$ 2.323.797
3500550;Águas de Santa Bárbara;2002;Agropecuária;R$ 16.190.325
3500600;Águas de São Pedro;2002;Agropecuária;R$ 0
3500709;Agudos;2002;Agropecuária;R$ 34.052.662
3500758;Alambari;2002;Agropecuária;R$ 10.964.200
3500808;Alfredo Marcondes;2002;Agropecuária;R$ 3.126.166
3500907;Altair;2002;Agropecuária;R$ 25.607.414
3501004;Altinópolis;2002;Agropecuária;R$ 63.834.134
3501103;Alto Alegre;2002;Agropecuária;R$ 16.481.768
3501152;Alumínio;2002;Agropecuária;R$ 2.202.262
3501202;Álvares Florence;2002;Agropecuária;R$ 7.103.666
3501301;Álvares Machado;2002;Agropecuária;R$ 9.418.162
3501400;Álvaro de Carvalho;2002;Agropecuária;R$ 3.885.903
3501509;Alvinlândia;2002;Agropecuária;R$ 2.706.311
3501608;Americana;2002;Agropecuária;R$ 6.530.276
3501707;Américo Brasiliense;2002;Agropecuária;R$ 13.581.883
3501806;Américo de Campos;2002;Agropecuária;R$ 4.930.259
3501905;Amparo;2002;Agropecuária;R$ 43.378.170
3502002;Analândia;2002;Agropecuária;R$ 17.621.047
3502101;Andradina;2002;Agropecuária;R$ 43.418.544
3502200;Angatuba;2002;Agropecuária;R$ 39.827.124
3502309;Anhembi;2002;Agropecuária;R$ 19.395.105
3502408;Anhumas;2002;Agropecuária;R$ 7.280.999
3502507;Aparecida;2002;Agropecuária;R$ 555.482
3502606;Aparecida d'Oeste;2002;Agropecuária;R$ 8.239.529
3502705;Apiaí;2002;Agropecuária;R$ 41.217.269
3502754;Araçariguama;2002;Agropecuária;R$ 1.101.217
3502804;Araçatuba;2002;Agropecuária;R$ 54.707.682
3502903;Araçoiaba da Serra;2002;Agropecuária;R$ 8.698.649
3503000;Aramina;2002;Agropecuária;R$ 18.018.781
3503109;Arandu;2002;Agropecuária;R$ 8.882.566
3503158;Arapeí;2002;Agropecuária;R$ 1.021.348
3503208;Araraquara;2002;Agropecuária;R$ 75.535.743
3503307;Araras;2002;Agropecuária;R$ 83.210.938
3503356;Arco-Íris;2002;Agropecuária;R$ 8.682.510
3503406;Arealva;2002;Agropecuária;R$ 16.342.328
3503505;Areias;2002;Agropecuária;R$ 5.791.392
3503604;Areiópolis;2002;Agropecuária;R$ 14.035.701
3503703;Ariranha;2002;Agropecuária;R$ 19.607.518
3503802;Artur Nogueira;2002;Agropecuária;R$ 37.299.630
3503901;Arujá;2002;Agropecuária;R$ 6.196.018
3503950;Aspásia;2002;Agropecuária;R$ 4.088.031
3504008;Assis;2002;Agropecuária;R$ 21.193.832
3504107;Atibaia;2002;Agropecuária;R$ 50.605.448
3504206;Auriflama;2002;Agropecuária;R$ 8.140.623
3504305;Avaí;2002;Agropecuária;R$ 45.401.202
3504404;Avanhandava;2002;Agropecuária;R$ 16.539.095
3504503;Avaré;2002;Agropecuária;R$ 77.182.150
3504602;Bady Bassitt;2002;Agropecuária;R$ 6.287.967
3504701;Balbinos;2002;Agropecuária;R$ 1.671.643
3504800;Bálsamo;2002;Agropecuária;R$ 7.593.002
3504909;Bananal;2002;Agropecuária;R$ 3.049.407
3505005;Barão de Antonina;2002;Agropecuária;R$ 3.458.574
3505104;Barbosa;2002;Agropecuária;R$ 8.234.643
3505203;Bariri;2002;Agropecuária;R$ 34.956.089
3505302;Barra Bonita;2002;Agropecuária;R$ 16.346.231
3505351;Barra do Chapéu;2002;Agropecuária;R$ 3.619.227
3505401;Barra do Turvo;2002;Agropecuária;R$ 1.705.450
3505500;Barretos;2002;Agropecuária;R$ 103.626.188
3505609;Barrinha;2002;Agropecuária;R$ 18.889.805
3505708;Barueri;2002;Agropecuária;R$ 47.649
3505807;Bastos;2002;Agropecuária;R$ 159.728.266
3505906;Batatais;2002;Agropecuária;R$ 74.571.634
3506003;Bauru;2002;Agropecuária;R$ 19.438.792
3506102;Bebedouro;2002;Agropecuária;R$ 89.137.933
3506201;Bento de Abreu;2002;Agropecuária;R$ 14.103.740
3506300;Bernardino de Campos;2002;Agropecuária;R$ 13.393.680
3506359;Bertioga;2002;Agropecuária;R$ 1.455.081
3506409;Bilac;2002;Agropecuária;R$ 19.765.230
3506508;Birigui;2002;Agropecuária;R$ 23.302.249
3506607;Biritiba-Mirim;2002;Agropecuária;R$ 84.453.232
3506706;Boa Esperança do Sul;2002;Agropecuária;R$ 64.950.105
3506805;Bocaina;2002;Agropecuária;R$ 25.456.979
3506904;Bofete;2002;Agropecuária;R$ 17.468.524
3507001;Boituva;2002;Agropecuária;R$ 13.065.171
3507100;Bom Jesus dos Perdões;2002;Agropecuária;R$ 3.445.664
3507159;Bom Sucesso de Itararé;2002;Agropecuária;R$ 1.525.352
3507209;Borá;2002;Agropecuária;R$ 2.856.243
3507308;Boracéia;2002;Agropecuária;R$ 12.666.694
3507407;Borborema;2002;Agropecuária;R$ 56.150.885
3507456;Borebi;2002;Agropecuária;R$ 12.632.536
3507506;Botucatu;2002;Agropecuária;R$ 75.854.054
3507605;Bragança Paulista;2002;Agropecuária;R$ 23.635.083
3507704;Braúna;2002;Agropecuária;R$ 12.489.403
3507753;Brejo Alegre;2002;Agropecuária;R$ 4.531.877
3507803;Brodowski;2002;Agropecuária;R$ 25.399.054
3507902;Brotas;2002;Agropecuária;R$ 82.186.751
3508009;Buri;2002;Agropecuária;R$ 24.341.139
3508108;Buritama;2002;Agropecuária;R$ 12.708.754
3508207;Buritizal;2002;Agropecuária;R$ 18.183.790
3508306;Cabrália Paulista;2002;Agropecuária;R$ 24.579.185
3508405;Cabreúva;2002;Agropecuária;R$ 4.882.145
3508504;Caçapava;2002;Agropecuária;R$ 6.894.977
3508603;Cachoeira Paulista;2002;Agropecuária;R$ 4.252.789
3508702;Caconde;2002;Agropecuária;R$ 18.492.808
3508801;Cafelândia;2002;Agropecuária;R$ 24.361.615
3508900;Caiabu;2002;Agropecuária;R$ 11.984.695
3509007;Caieiras;2002;Agropecuária;R$ 4.651.974
3509106;Caiuá;2002;Agropecuária;R$ 9.959.814
3509205;Cajamar;2002;Agropecuária;R$ 320.786
3509254;Cajati;2002;Agropecuária;R$ 41.085.420
3509304;Cajobi;2002;Agropecuária;R$ 20.872.091
3509403;Cajuru;2002;Agropecuária;R$ 34.905.736
3509452;Campina do Monte Alegre;2002;Agropecuária;R$ 8.998.775
3509502;Campinas;2002;Agropecuária;R$ 38.034.545
3509601;Campo Limpo Paulista;2002;Agropecuária;R$ 1.849.377
3509700;Campos do Jordão;2002;Agropecuária;R$ 1.759.974
3509809;Campos Novos Paulista;2002;Agropecuária;R$ 17.835.491
3509908;Cananéia;2002;Agropecuária;R$ 5.879.073
3509957;Canas;2002;Agropecuária;R$ 457.713
3510005;Cândido Mota;2002;Agropecuária;R$ 68.881.680
3510104;Cândido Rodrigues;2002;Agropecuária;R$ 11.759.658
3510153;Canitar;2002;Agropecuária;R$ 3.675.347
3510203;Capão Bonito;2002;Agropecuária;R$ 58.898.236
3510302;Capela do Alto;2002;Agropecuária;R$ 21.640.351
3510401;Capivari;2002;Agropecuária;R$ 37.236.824
3510500;Caraguatatuba;2002;Agropecuária;R$ 2.486.238
3510609;Carapicuíba;2002;Agropecuária;R$ 34.035
3510708;Cardoso;2002;Agropecuária;R$ 10.342.451
3510807;Casa Branca;2002;Agropecuária;R$ 96.840.759
3510906;Cássia dos Coqueiros;2002;Agropecuária;R$ 22.075.624
3511003;Castilho;2002;Agropecuária;R$ 14.826.446
3511102;Catanduva;2002;Agropecuária;R$ 37.453.057
3511201;Catiguá;2002;Agropecuária;R$ 14.904.608
3511300;Cedral;2002;Agropecuária;R$ 10.660.766
3511409;Cerqueira César;2002;Agropecuária;R$ 22.120.500
3511508;Cerquilho;2002;Agropecuária;R$ 14.369.445
3511607;Cesário Lange;2002;Agropecuária;R$ 11.537.781
3511706;Charqueada;2002;Agropecuária;R$ 16.513.083
3511904;Clementina;2002;Agropecuária;R$ 9.156.029
3512001;Colina;2002;Agropecuária;R$ 54.124.838
3512100;Colômbia;2002;Agropecuária;R$ 43.195.038
3512209;Conchal;2002;Agropecuária;R$ 28.585.390
3512308;Conchas;2002;Agropecuária;R$ 20.746.362
3512407;Cordeirópolis;2002;Agropecuária;R$ 20.632.011
3512506;Coroados;2002;Agropecuária;R$ 11.969.000
3512605;Coronel Macedo;2002;Agropecuária;R$ 14.513.584
3512704;Corumbataí;2002;Agropecuária;R$ 13.861.585
3512803;Cosmópolis;2002;Agropecuária;R$ 18.849.482
3512902;Cosmorama;2002;Agropecuária;R$ 13.734.859
3513009;Cotia;2002;Agropecuária;R$ 5.059.464
3513108;Cravinhos;2002;Agropecuária;R$ 37.094.865
3513207;Cristais Paulista;2002;Agropecuária;R$ 23.665.037
3513306;Cruzália;2002;Agropecuária;R$ 9.345.105
3513405;Cruzeiro;2002;Agropecuária;R$ 4.005.991
3513504;Cubatão;2002;Agropecuária;R$ 136.141
3513603;Cunha;2002;Agropecuária;R$ 10.085.629
3513702;Descalvado;2002;Agropecuária;R$ 83.651.085
3513801;Diadema;2002;Agropecuária;R$ 115.720
3513850;Dirce Reis;2002;Agropecuária;R$ 2.291.027
3513900;Divinolândia;2002;Agropecuária;R$ 13.973.879
3514007;Dobrada;2002;Agropecuária;R$ 20.154.441
3514106;Dois Córregos;2002;Agropecuária;R$ 65.452.304
3514205;Dolcinópolis;2002;Agropecuária;R$ 1.816.805
3514304;Dourado;2002;Agropecuária;R$ 20.408.126
3514403;Dracena;2002;Agropecuária;R$ 11.187.098
3514502;Duartina;2002;Agropecuária;R$ 6.814.057
3514601;Dumont;2002;Agropecuária;R$ 12.956.325
3514700;Echaporã;2002;Agropecuária;R$ 20.934.127
3514809;Eldorado;2002;Agropecuária;R$ 39.568.998
3514908;Elias Fausto;2002;Agropecuária;R$ 43.914.368
3514924;Elisiário;2002;Agropecuária;R$ 7.919.331
3514957;Embaúba;2002;Agropecuária;R$ 8.864.194
3515004;Embu das Artes;2002;Agropecuária;R$ 44.185
3515103;Embu-Guaçu;2002;Agropecuária;R$ 356.393
3515129;Emilianópolis;2002;Agropecuária;R$ 4.014.022
3515152;Engenheiro Coelho;2002;Agropecuária;R$ 15.255.647
3515186;Espírito Santo do Pinhal;2002;Agropecuária;R$ 31.337.228
3515194;Espírito Santo do Turvo;2002;Agropecuária;R$ 8.569.147
3515202;Estrela d'Oeste;2002;Agropecuária;R$ 18.607.113
3515301;Estrela do Norte;2002;Agropecuária;R$ 4.331.431
3515350;Euclides da Cunha Paulista;2002;Agropecuária;R$ 8.485.999
3515400;Fartura;2002;Agropecuária;R$ 19.387.822
3515509;Fernandópolis;2002;Agropecuária;R$ 37.327.561
3515608;Fernando Prestes;2002;Agropecuária;R$ 23.495.360
3515657;Fernão;2002;Agropecuária;R$ 6.234.332
3515707;Ferraz de Vasconcelos;2002;Agropecuária;R$ 469.395
3515806;Flora Rica;2002;Agropecuária;R$ 6.071.228
3515905;Floreal;2002;Agropecuária;R$ 5.269.713
3516002;Flórida Paulista;2002;Agropecuária;R$ 33.467.498
3516101;Florínia;2002;Agropecuária;R$ 26.955.220
3516200;Franca;2002;Agropecuária;R$ 23.204.348
3516309;Francisco Morato;2002;Agropecuária;R$ 58.675
3516408;Franco da Rocha;2002;Agropecuária;R$ 682.906
3516507;Gabriel Monteiro;2002;Agropecuária;R$ 9.304.654
3516606;Gália;2002;Agropecuária;R$ 6.528.634
3516705;Garça;2002;Agropecuária;R$ 38.304.410
3516804;Gastão Vidigal;2002;Agropecuária;R$ 6.494.330
3516853;Gavião Peixoto;2002;Agropecuária;R$ 22.057.638
3516903;General Salgado;2002;Agropecuária;R$ 16.298.859
3517000;Getulina;2002;Agropecuária;R$ 18.714.141
3517109;Glicério;2002;Agropecuária;R$ 12.188.458
3517208;Guaiçara;2002;Agropecuária;R$ 16.303.520
3517307;Guaimbê;2002;Agropecuária;R$ 4.035.574
3517406;Guaíra;2002;Agropecuária;R$ 104.706.406
3517505;Guapiaçu;2002;Agropecuária;R$ 77.260.578
3517604;Guapiara;2002;Agropecuária;R$ 21.473.118
3517703;Guará;2002;Agropecuária;R$ 35.385.207
3517802;Guaraçaí;2002;Agropecuária;R$ 31.208.463
3517901;Guaraci;2002;Agropecuária;R$ 24.195.793
3518008;Guarani d'Oeste;2002;Agropecuária;R$ 2.364.558
3518107;Guarantã;2002;Agropecuária;R$ 15.250.011
3518206;Guararapes;2002;Agropecuária;R$ 101.661.473
3518305;Guararema;2002;Agropecuária;R$ 10.924.181
3518404;Guaratinguetá;2002;Agropecuária;R$ 14.779.827
