cod_ibge;municipio;censo2000;censo2010;censo2022;tc2000_2010;tc2010_2022
3500105;Adamantina;33.497;33.797;34.687;0,09;0,22
3500204;Adolfo;3.684;3.557;4.351;-0,35;1,69
3500303;Aguaí;28.195;32.148;32.072;1,32;-0,02
3500402;Águas da Prata;7.131;7.584;7.369;0,62;-0,24
3500501;Águas de Lindóia;16.190;17.266;17.930;0,65;0,31
3500550;Águas de Santa Bárbara;5.224;5.601;7.177;0,70;2,09
3500600;Águas de São Pedro;1.883;2.707;2.780;3,70;0,22
3500709;Agudos;32.484;34.524;37.680;0,61;0,73
3500758;Alambari;3.650;4.884;6.141;2,96;1,93
3500808;Alfredo Marcondes;3.697;3.891;4.445;0,51;1,12
3500907;Altair;3.530;3.815;3.451;0,78;-0,83
3501004;Altinópolis;15.481;15.607;16.818;0,08;0,62
3501103;Alto Alegre;4.261;4.102;3.841;-0,38;-0,55
3501152;Alumínio;15.252;16.839;17.301;0,99;0,23
3501202;Álvares Florence;4.316;3.897;3.915;-1,02;0,04
3501301;Álvares Machado;22.661;23.513;27.255;0,37;1,24
3501400;Álvaro de Carvalho;4.109;4.650;4.808;1,24;0,28
3501509;Alvinlândia;2.837;3.000;2.885;0,56;-0,33
3501608;Americana;182.593;210.638;237.240;1,44;1,00
3501707;Américo Brasiliense;28.287;34.478;33.019;2,00;-0,36
3501806;Américo de Campos;5.594;5.706;5.870;0,20;0,24
3501905;Amparo;60.404;65.829;68.008;0,86;0,27
3502002;Analândia;3.582;4.293;4.589;1,83;0,56
3502101;Andradina;55.161;55.334;59.783;0,03;0,65
3502200;Angatuba;19.297;22.210;24.022;1,42;0,66
3502309;Anhembi;4.535;5.653;5.674;2,23;0,03
3502408;Anhumas;3.411;3.738;4.023;0,92;0,61
3502507;Aparecida;34.904;35.007;32.569;0,03;-0,60
3502606;Aparecida d'Oeste;4.935;4.450;4.086;-1,03;-0,71
3502705;Apiaí;27.162;25.191;24.585;-0,75;-0,20
3502754;Araçariguama;11.154;17.080;21.522;4,35;1,95
3502804;Araçatuba;169.254;181.579;200.124;0,71;0,81
3502903;Araçoiaba da Serra;19.816;27.299;32.443;3,26;1,45
3503000;Aramina;4.763;5.152;5.420;0,79;0,42
3503109;Arandu;6.065;6.123;6.885;0,10;0,98
